Day,Control,PD Resp,,NK Dep,Combo Resp,Combo Non Resp,,PD All Non Resp
0,10,10,,10,10,10,,10
7,213.2508504,217.5290231,,291.3887749,288.6994735,275.9486762,,212.4615703
8,299.9789575,296.6477051,,368.67548,354.141468,348.8784432,,295.0658676
9,339.0664674,311.0386721,,411.6321917,402.3157656,500.3961924,,333.3450252
10,437.5441822,363.5610649,,546.6270614,416.2932282,520.2780598,,401.0402054
11,541.3796249,299.3314117,,621.2738527,392.1927247,424.5138197,,420.0845102
12,675.4166071,340.9867253,,638.9672847,348.6543055,340.9794982,,427.4488079
13,811.287577,277.0793052,,718.447133,288.2452396,275.9486762,,460.3945345
14,1022.905123,264.3368157,,813.9150669,245.3985782,207.9594492,,478.5086124
15,1422.810802,231.1773763,,1001.544475,183.7986908,166.730517,,541.1869482
16,1805.3783,200.459841,,1197.594134,154.9160567,139.496365,,555.0302387
17,2206.051673,249.4437011,,1503.097114,119.3232623,115.4015351,,715.6839657
18,2815.212502,185.5993364,,2042.130908,89.22725614,94.33033898,,959.6456283
19,3398.805739,157.6873139,,2381.899262,68.40799009,57.54710621,,1113.062472
20,3829.072669,158.2393156,,2626.875395,48.55838411,32.03389831,,1420.98826