Day,Cell Type,Control,PD,NK Dep,Combo,PD Resp,PD Non Resp,Combo Resp,Combo Non Resp
9,Cancer,343.6650181,,410.8272006,,315.2570989,337.8659794,417.4487705,356.1396235
11,Cancer,532.4541502,,624.1265253,,299.7632019,420.6904888,409.0469909,347.5420732
15,Cancer,1445.838455,,1012.990698,,,,,
20,Cancer,3893.839574,,2605.49176,,,,,
9,NK,26.0356326,,3.187104962,,26.0356326,26.0356326,12.37921405,10.56112497
11,NK,84.632076,,10.84126682,,50.64070856,50.64070856,6.095757729,5.179190475
15,NK,113.607717,,6.114845203,,,,,
20,NK,315.701317,,2.13129801,,,,,
9,Naïve,0.887950226,,0.920973604,,0.887950226,0.887950226,0.920973604,0.920973604
11,Naïve,3.36014709,,7.221636574,,1.419285713,1.419285713,3.628434413,3.628434413
15,Naïve,15.85405075,,26.76312644,,,,,
20,Naïve,55.3152557,,43.08323787,,,,,
9,Progenitor,1.384851298,,1.437112524,,1.384851298,1.384851298,1.437112524,1.437112524
11,Progenitor,2.52782927,,6.177279484,,2.189015964,2.189015964,6.057215572,6.057215572
15,Progenitor,6.454117907,,10.85629122,,,,,
20,Progenitor,64.19957673,,77.96948469,,,,,
9,Effector,1.13556525,,0.425966699,,1.13556525,1.13556525,0.425966699,0.425966699
11,Effector,12.1374201,,29.9693744,,7.024402656,7.024402656,16.40563246,16.40563246
15,Effector,29.27411501,,76.55540572,,,,,
20,Effector,18.22913171,,67.73550784,,,,,
9,New,1.085824119,,3.378266661,,1.085824119,1.085824119,3.378266661,3.378266661
11,New,0.93880043,,16.75506453,,0.640922123,0.640922123,10.03779065,10.03779065
15,New,4.886144146,,24.01616616,,,,,
20,New,24.57970731,,136.6009695,,,,,
9,Exhausted,0.032780716,,0.123791421,,0.032780716,0.032780716,0.123791421,0.123791421
11,Exhausted,7.73776295,,6.965159131,,5.970033464,5.970033464,4.058104926,4.058104926
15,Exhausted,5.455414708,,4.401488337,,,,,
20,Exhausted,46.63782156,,74.40386901,,,,,